,id,reading_time,flesch_reading_score,dale_chall_readability_score,total_paragraphs,avg_sentences_per_para,len_of_longest_paragraph,total_sentences,avg_words_per_sentence,len_of_longest_sentence,total_words,compulsive_hedgers,intensifiers,and_frequency,vague_words_count
171,1305.0629v2,19.62,59.67,7.0,98,2.72,25,267,14.7,58,3924,8,0,2.65 %,51
172,0804.1158v1,30.815,70.36,6.0,354,1.82,29,643,9.58,55,6163,65,3,2.14 %,44
173,0804.1589v1,52.165,67.86,2.3,1313,1.4,71,1840,5.67,77,10433,53,0,1.39 %,5
174,1305.4069v1,26.85,48.98,6.9,271,1.71,19,463,11.6,87,5370,8,6,1.53 %,11
175,1305.3579v1,17.155,68.91,6.2,98,3.63,51,356,9.64,47,3431,5,0,2.48 %,13
176,1305.6942v3,41.17,57.81,6.4,264,3.02,96,798,10.32,66,8234,22,8,1.37 %,47
177,0804.3208v2,19.605,81.36,5.8,162,2.35,58,381,10.29,87,3921,19,0,2.32 %,28
178,0804.4718v2,20.265,48.74,6.7,67,4.04,36,271,14.96,55,4053,30,3,1.8 %,35
179,1305.5108v5,31.815,42.55,7.0,81,4.6,38,373,17.06,99,6363,28,4,2.58 %,106
180,1305.1629v2,21.5,55.88,6.7,162,2.45,22,397,10.83,64,4300,30,1,1.44 %,28
181,1305.6339v2,21.25,51.82,7.1,331,1.62,21,537,7.91,93,4250,12,6,1.79 %,26
182,0804.0589v1,3.185,41.5,8.2,5,10.6,24,53,12.02,41,637,1,0,3.3 %,5
183,1305.5069v1,15.98,53.0,6.6,23,12.74,60,293,10.91,55,3196,0,1,1.94 %,5
184,1305.6907v3,14.835,69.21,6.5,133,2.38,45,316,9.39,94,2967,3,0,2.49 %,13
185,1305.2579v1,25.35,54.46,6.4,298,2.07,75,618,8.2,65,5070,10,2,2.5 %,15
186,0804.3075v3,43.865,51.21,6.1,328,2.29,23,752,11.67,60,8773,18,3,1.76 %,60
187,1305.0981v4,29.75,67.22,6.3,597,1.49,114,887,6.71,85,5950,9,8,2.27 %,40
188,0804.0158v1,88.365,75.71,2.3,2286,1.3,48,2975,5.94,61,17673,29,0,2.76 %,66
189,0804.4565v3,99.47,52.64,3.1,460,2.37,55,1092,18.22,579,19894,27,1,1.97 %,69
190,0804.3836v3,8.865,46.61,7.1,77,2.4,36,185,9.58,56,1773,4,0,2.2 %,5
191,0804.2503v1,17.975,68.3,5.9,113,2.92,42,330,10.89,60,3595,1,4,3.25 %,37
192,1305.2685v1,26.345,76.79,5.8,573,1.5,50,862,6.11,82,5269,23,0,2.01 %,18
193,0804.0675v1,40.26,50.03,6.5,187,3.12,70,583,13.81,86,8052,13,1,2.35 %,69
